step,lr,loss,transformer.wte.weight,transformer.h.0.attn.c_attn.weight,transformer.h.0.mlp.c_fc.weight,transformer.h.1.attn.c_attn.weight,transformer.h.1.mlp.c_fc.weight,transformer.ln_f.weight
0,3.2258064516129034e-05,4.298375129699707,nan,nan,nan,nan,nan,nan
1,6.451612903225807e-05,4.165314197540283,0.0028513234824886252,0.0026849857544134557,0.00279848860601554,0.00272290599805191,0.002809108935565129,5.611693372654999e-05
2,9.67741935483871e-05,3.961101531982422,0.003991695492081412,0.0036860209376326156,0.003959529961698741,0.0037636524612651395,0.003950449507373089,7.700604506136e-05
3,0.00012903225806451613,3.7336814403533936,0.005030323001103,0.004467268547663951,0.004834673265595249,0.0045406917235425535,0.004899060543912931,9.507048653311871e-05
4,0.00016129032258064516,3.602470874786377,0.006031022879930591,0.005024976455455503,0.005464804728034512,0.005060301796491458,0.005610215724633486,0.00011069804355531994
5,0.0001935483870967742,3.491868734359741,0.0070498352298033525,0.005408028250976954,0.005973229023662965,0.005434260423665888,0.006168470958314159,0.0001275873352708965
6,0.00022580645161290324,3.4620723724365234,0.007996733192218808,0.005693302056089956,0.006389038342560859,0.0056325572293273295,0.006570980621049124,0.00014636874088584445
7,0.00025806451612903227,3.441614866256714,0.008789661521505067,0.005911944780373156,0.006701586655959682,0.005711386759083987,0.006804465050329129,0.00016517452396153752
8,0.0002903225806451613,3.3120276927948,0.009686544965366207,0.006102096439492289,0.006939746762939475,0.005690098585728377,0.006938306696841482,0.000188918268721148
9,0.0003225806451612903,3.283597707748413,0.010559839497581778,0.0062978230621853915,0.007155825514838121,0.005650680805758726,0.007052458877910953,0.0002155092781056194
10,0.0003548387096774193,3.256352186203003,0.011484051209838935,0.00656655070623406,0.0074123197201659205,0.005626952872739165,0.0071348458813237595,0.00024281537530400227
11,0.0003870967741935484,3.320460557937622,0.012037794996813463,0.007002381037160194,0.007694599919851009,0.005637917720424762,0.00713492522355664,0.0002650581060166996
12,0.00041935483870967743,3.346344470977783,0.01249510429488683,0.007689020502183784,0.008093599952663086,0.005845123817288508,0.007207073429730136,0.00028420129665599457
13,0.0004516129032258065,3.201808452606201,0.013057291247145573,0.008464703274828997,0.008570349838083,0.006198409966475852,0.007313303813936094,0.0003149215310137559
14,0.0004838709677419355,3.178443193435669,0.013769850085620344,0.009328216581484219,0.008811322993726995,0.0063461225935682085,0.007610771969839749,0.00035132435513775614
15,0.0005161290322580645,3.157062292098999,0.01446515092477449,0.009431975972918474,0.009186138435842423,0.007173155600258371,0.008105133057527839,0.0003849623073467729
16,0.0005483870967741936,3.097729444503784,0.014995255868584119,0.009805909931352136,0.008816628823428941,0.006758531140013565,0.008118438972198223,0.00037811107765939686
17,0.0005806451612903226,3.0109221935272217,0.015371286456134612,0.010860208710979105,0.008876992207120642,0.006929215422499617,0.008296820071807359,0.00040639083175553306
18,0.0006129032258064516,3.0126373767852783,0.01593090277780912,0.012523057611665844,0.009055041492426448,0.007650585890668874,0.008484016085817855,0.00043264479005957835
19,0.0006451612903225806,2.899458885192871,0.01649576513111475,0.013178519236380566,0.009249374404695657,0.008647283642020182,0.008677128726253992,0.00046675754954427656
20,0.0006774193548387097,3.05087947845459,0.016600184267309873,0.01265099690057965,0.009113818352440031,0.009377757905306965,0.007960734750371396,0.00047663078643922095
21,0.0007096774193548386,2.8070645332336426,0.01700795658791068,0.01315583520848637,0.00933241113949622,0.010014805477489836,0.008159747669238389,0.0005001238469397266
22,0.0007419354838709677,2.8873722553253174,0.017207160226886238,0.013225783942371718,0.009121857063260628,0.009580839414610803,0.007806547085679706,0.0005163777942192334
23,0.0007741935483870968,2.926618814468384,0.017416617682362478,0.01368334908345783,0.00914106541347064,0.010160230148688396,0.007857027383119811,0.0005296846127636408
24,0.0008064516129032258,2.82796311378479,0.017784897341311355,0.014748378657664768,0.009570949962357661,0.011240588202796263,0.008185127155500602,0.0005516789785168831
