step,cosine_lr,wsd_lr,cosine_loss,wsd_loss
0,6.25e-05,6.25e-05,4.298375129699707,4.298375129699707
1,0.000125,0.000125,4.066235065460205,4.066235065460205
2,0.0001875,0.0001875,3.7503879070281982,3.7503879070281982
3,0.00025,0.00025,3.5634589195251465,3.5634589195251465
4,0.0003125,0.0003125,3.4786248207092285,3.4786248207092285
5,0.000375,0.000375,3.394054889678955,3.394054889678955
6,0.0004375,0.0004375,3.395972490310669,3.395972490310669
7,0.0005,0.0005,3.3705079555511475,3.3705079555511475
8,0.0005625000000000001,0.0005625000000000001,3.2432713508605957,3.2432713508605957
9,0.000625,0.000625,3.2051804065704346,3.2051804065704346
10,0.0006875,0.0006875,3.12798810005188,3.12798810005188
11,0.00075,0.00075,3.1749472618103027,3.1749472618103027
12,0.0008125000000000001,0.0008125000000000001,3.321035861968994,3.321035861968994
13,0.000875,0.000875,3.158311128616333,3.158311128616333
14,0.0009375,0.0009375,3.063727378845215,3.063727378845215
15,0.001,0.001,3.055586338043213,3.055586338043213
16,0.0009999726606524544,0.001,2.9154903888702393,2.9154903888702393
17,0.0009998906459317725,0.001,2.857557773590088,2.8575570583343506
18,0.0009997539658034168,0.001,2.802126407623291,2.802126884460449
19,0.0009995626368751447,0.001,2.791391372680664,2.791386127471924
20,0.0009993166823949922,0.001,2.8316457271575928,2.83162260055542
21,0.0009990161322484484,0.001,2.7121429443359375,2.712158679962158
22,0.000998661022954824,0.001,2.78452205657959,2.7845184803009033
23,0.0009982513976628143,0.001,2.8010289669036865,2.8009817600250244
24,0.0009977873061452552,0.001,2.749616861343384,2.7496542930603027
25,0.0009972688047930772,0.001,2.6526567935943604,2.652681827545166
26,0.0009966959566084523,0.001,2.7000861167907715,2.700066328048706
27,0.0009960688311971388,0.001,2.68275785446167,2.6826958656311035
28,0.0009953875047600234,0.001,2.691894292831421,2.6918396949768066
29,0.0009946520600838632,0.001,2.676454544067383,2.676302671432495
30,0.000993862586531225,0.001,2.635499954223633,2.635684013366699
31,0.0009930191800296283,0.001,2.6397573947906494,2.6397833824157715
32,0.000992121943059888,0.001,2.673999071121216,2.6739461421966553
33,0.0009911709846436641,0.001,2.6299490928649902,2.6297945976257324
34,0.0009901664203302125,0.001,2.6731314659118652,2.6731069087982178
35,0.000989108372182346,0.001,2.6838619709014893,2.6839780807495117
36,0.0009879969687616025,0.001,2.6336593627929688,2.6336116790771484
37,0.000986832345112624,0.001,2.557008743286133,2.556865692138672
38,0.0009856146427467468,0.001,2.64707350730896,2.6471951007843018
39,0.0009843440096248069,0.001,2.5535778999328613,2.553537368774414
40,0.0009830206001391626,0.001,2.583343029022217,2.583198070526123
41,0.0009816445750949333,0.001,2.5667295455932617,2.567228078842163
42,0.0009802161016904609,0.001,2.5728275775909424,2.5731043815612793
43,0.0009787353534969935,0.001,2.655287265777588,2.6547398567199707
44,0.0009772025104375958,0.001,2.6218888759613037,2.621124744415283
45,0.0009756177587652855,0.001,2.5764245986938477,2.5767457485198975
46,0.0009739812910404045,0.001,2.6010074615478516,2.6015982627868652
47,0.0009722933061072184,0.001,2.582962989807129,2.5825109481811523
48,0.0009705540090697574,0.001,2.5489585399627686,2.54818058013916
49,0.0009687636112668933,0.001,2.570502519607544,2.5703325271606445
50,0.0009669223302466608,0.001,2.489119291305542,2.488574743270874
51,0.0009650303897398232,0.001,2.5681095123291016,2.5680673122406006
52,0.0009630880196326872,0.001,2.5110056400299072,2.512360095977783
53,0.0009610954559391703,0.001,2.5036978721618652,2.5039453506469727
54,0.0009590529407721231,0.001,2.460947036743164,2.4609310626983643
55,0.0009569607223139099,0.001,2.603311538696289,2.602707624435425
56,0.0009548190547862531,0.001,2.5633015632629395,2.5627946853637695
57,0.0009526281984193436,0.001,2.5648014545440674,2.5640125274658203
58,0.0009503884194202195,0.001,2.545393228530884,2.5456430912017822
59,0.0009480999899404206,0.001,2.5148043632507324,2.514258623123169
60,0.0009457631880429201,0.001,2.521529197692871,2.522678852081299
61,0.0009433782976683365,0.001,2.4802467823028564,2.4805068969726562
62,0.0009409456086004335,0.001,2.573476791381836,2.577383041381836
63,0.0009384654164309083,0.001,2.5403382778167725,2.541438579559326
64,0.0009359380225234751,0.001,2.495661973953247,2.4959752559661865
65,0.0009333637339772472,0.001,2.5287561416625977,2.528614044189453
66,0.0009307428635894209,0.001,2.469810962677002,2.4727978706359863
67,0.0009280757298172694,0.001,2.5122299194335938,2.50996994972229
68,0.0009253626567394465,0.001,2.5258371829986572,2.529284715652466
69,0.000922603974016609,0.001,2.515815019607544,2.5196139812469482
70,0.0009198000168513603,0.001,2.4522793292999268,2.4540886878967285
71,0.0009169511259475202,0.001,2.510924816131592,2.51285719871521
72,0.0009140576474687263,0.001,2.5058321952819824,2.507697582244873
73,0.0009111199329963735,0.001,2.457935094833374,2.463334560394287
74,0.0009081383394868923,0.001,2.506993293762207,2.5122928619384766
75,0.0009051132292283772,0.001,2.4584169387817383,2.460451126098633
76,0.0009020449697965644,0.001,2.499420166015625,2.501364231109619
77,0.0008989339340101696,0.001,2.493293523788452,2.494349718093872
78,0.0008957804998855866,0.001,2.505974292755127,2.507702350616455
79,0.0008925850505909551,0.001,2.42323637008667,2.4284873008728027
80,0.0008893479743996033,0.001,2.548654317855835,2.550370931625366
81,0.0008860696646428692,0.001,2.4497337341308594,2.449721336364746
82,0.0008827505196623075,0.001,2.494293212890625,2.498847484588623
83,0.0008793909427612878,0.001,2.5856781005859375,2.5890278816223145
84,0.0008759913421559901,0.001,2.472040891647339,2.4722976684570312
85,0.0008725521309258031,0.001,2.5108377933502197,2.5164577960968018
86,0.0008690737269631319,0.001,2.4238696098327637,2.428788900375366
87,0.00086555655292262,0.001,2.4831159114837646,2.483680248260498
88,0.000862001036169794,0.001,2.482076406478882,2.483780860900879
89,0.000858407608729135,0.001,2.5088183879852295,2.515638828277588
90,0.0008547767072315835,0.001,2.4651994705200195,2.459198474884033
91,0.0008511087728614862,0.001,2.450573682785034,2.4566946029663086
92,0.0008474042513029876,0.001,2.470738649368286,2.4759113788604736
93,0.0008436635926858759,0.001,2.6149396896362305,2.6111209392547607
94,0.000839887251530889,0.001,2.4580435752868652,2.484915018081665
95,0.0008360756866944857,0.001,2.4597349166870117,2.471468210220337
96,0.0008322293613130917,0.001,2.544471502304077,2.5432374477386475
97,0.0008283487427468242,0.001,2.4684834480285645,2.4816441535949707
98,0.0008244343025227042,0.001,2.452313184738159,2.471816062927246
99,0.0008204865162773613,0.001,2.4894895553588867,2.496346950531006
100,0.0008165058636992411,0.001,2.4703404903411865,2.4789745807647705
101,0.000812492828470318,0.001,2.4735605716705322,2.4834399223327637
102,0.0008084478982073246,0.001,2.4260377883911133,2.438156843185425
103,0.0008043715644025023,0.001,2.444460153579712,2.458022356033325
104,0.0008002643223638802,0.001,2.474215030670166,2.4714927673339844
105,0.0007961266711550922,0.001,2.447141170501709,2.4581105709075928
106,0.0007919591135347353,0.001,2.4697890281677246,2.4805266857147217
107,0.0007877621558952816,0.001,2.4711616039276123,2.4800009727478027
108,0.0007835363082015469,0.001,2.5204110145568848,2.5219712257385254
109,0.0007792820839287257,0.001,2.506321668624878,2.5100479125976562
110,0.0007750000000000001,0.001,2.465984344482422,2.4735629558563232
111,0.0007706905767237288,0.001,2.459266185760498,2.47040057182312
112,0.0007663543377302259,0.001,2.4421043395996094,2.4558041095733643
113,0.0007619918099081353,0.001,2.4827964305877686,2.4904205799102783
114,0.0007576035233404096,0.001,2.45302414894104,2.4614429473876953
115,0.0007531900112399002,0.001,2.417947769165039,2.4149603843688965
116,0.0007487518098845683,0.001,2.4386324882507324,2.438040256500244
117,0.0007442894585523217,0.001,2.3922533988952637,2.4087352752685547
118,0.0007398034994554895,0.001,2.4466335773468018,2.4495444297790527
119,0.0007352944776749373,0.001,2.473421812057495,2.482997179031372
120,0.0007307629410938364,0.001,2.4321632385253906,2.438964605331421
121,0.0007262094403310913,0.001,2.4091246128082275,2.415201425552368
122,0.0007216345286744348,0.001,2.441162586212158,2.445142984390259
123,0.0007170387620131993,0.001,2.4850752353668213,2.48689603805542
124,0.0007124226987707717,0.001,2.4362847805023193,2.436588764190674
125,0.0007077868998367396,0.001,2.4672956466674805,2.4680840969085693
126,0.0007031319284987394,0.001,2.4815561771392822,2.4727160930633545
127,0.0006984583503740122,0.001,2.4486045837402344,2.4639296531677246
128,0.0006937667333406767,0.001,2.3782904148101807,2.4046990871429443
129,0.0006890576474687264,0.001,2.4165453910827637,2.4247279167175293
130,0.0006843316649507626,0.001,2.430149555206299,2.4200937747955322
131,0.0006795893600324678,0.001,2.3855390548706055,2.391697406768799
132,0.0006748313089428301,0.001,2.409281015396118,2.451765775680542
133,0.0006700580898241267,0.001,2.341625928878784,2.333916187286377
134,0.0006652702826616751,0.001,2.3844897747039795,2.4190144538879395
135,0.0006604684692133597,0.001,2.419400691986084,2.453767776489258
136,0.0006556532329389435,0.001,2.464742422103882,2.4678592681884766
137,0.0006508251589291732,0.001,2.432785987854004,2.4548747539520264
138,0.0006459848338346861,0.001,2.4418370723724365,2.4610016345977783
139,0.0006411328457947265,0.001,2.42250657081604,2.4250400066375732
140,0.0006362697843656824,0.001,2.3953521251678467,2.406681776046753
141,0.0006313962404494495,0.001,2.3643710613250732,2.3940958976745605
142,0.000626512806221632,0.001,2.3956239223480225,2.4094412326812744
143,0.0006216200750595877,0.001,2.4527478218078613,2.4537105560302734
144,0.0006167186414703289,0.001,2.4739060401916504,2.490638494491577
145,0.0006118091010182837,0.001,2.362406015396118,2.3765971660614014
146,0.0006068920502529309,0.001,2.4437549114227295,2.43455171585083
147,0.0006019680866363139,0.001,2.3952510356903076,2.401216983795166
148,0.0005970378084704442,0.001,2.3941476345062256,2.3963778018951416
149,0.000592101814824603,0.001,2.4165525436401367,2.415266275405884
150,0.0005871607054625496,0.001,2.3824985027313232,2.3751401901245117
151,0.0005822150807696442,0.001,2.3815064430236816,2.399247169494629
152,0.0005772655416798972,0.001,2.4978065490722656,2.498861312866211
153,0.00057231268960295,0.001,2.4244463443756104,2.438891649246216
154,0.0005673571263509996,0.001,2.340822458267212,2.3545751571655273
155,0.000562399454065673,0.001,2.411010265350342,2.411916494369507
156,0.0005574402751448614,0.001,2.3812434673309326,2.3998076915740967
157,0.0005524801921695252,0.001,2.3827199935913086,2.403406858444214
158,0.0005475198078304748,0.001,2.3754403591156006,2.375859022140503
159,0.0005425597248551388,0.001,2.4460461139678955,2.4647061824798584
160,0.0005376005459343271,0.001,2.4689011573791504,2.4910645484924316
161,0.0005326428736490002,0.001,2.4939067363739014,2.4724438190460205
162,0.00052768731039705,0.001,2.414562702178955,2.4294703006744385
163,0.000522734458320103,0.001,2.415503740310669,2.4537293910980225
164,0.000517784919230356,0.001,2.4590187072753906,2.465545654296875
165,0.0005128392945374505,0.001,2.4112308025360107,2.4295260906219482
166,0.000507898185175397,0.001,2.4139857292175293,2.427443027496338
167,0.000502962191529556,0.001,2.400801181793213,2.4020020961761475
168,0.0004980319133636862,0.001,2.3544297218322754,2.3632378578186035
169,0.0004931079497470692,0.001,2.3476152420043945,2.3728671073913574
170,0.00048819089898171627,0.001,2.3499436378479004,2.3725082874298096
171,0.000483281358529671,0.001,2.381258964538574,2.398000717163086
172,0.0004783799249404122,0.001,2.4293599128723145,2.4481353759765625
173,0.00047348719377836816,0.001,2.3721659183502197,2.391085386276245
174,0.00046860375955055066,0.001,2.4011764526367188,2.4164979457855225
175,0.0004637302156343178,0.001,2.4027974605560303,2.4256696701049805
176,0.0004588671542052736,0.001,2.399536609649658,2.415562868118286
177,0.000454015166165314,0.001,2.3558530807495117,2.375457286834717
178,0.00044917484107082686,0.001,2.383572816848755,2.394158124923706
179,0.0004443467670610566,0.001,2.32942533493042,2.341712474822998
180,0.0004395315307866404,0.001,2.3864669799804688,2.412571907043457
181,0.00043472971733832477,0.001,2.3744616508483887,2.3864059448242188
182,0.0004299419101758732,0.001,2.388010025024414,2.4159910678863525
183,0.00042516869105717,0.001,2.3374578952789307,2.355239152908325
184,0.0004204106399675323,0.001,2.366562604904175,2.37882137298584
185,0.00041566833504923755,0.001,2.3245770931243896,2.337812662124634
186,0.0004109423525312737,0.001,2.395892381668091,2.4012820720672607
187,0.00040623326665932335,0.001,2.2903809547424316,2.2925407886505127
188,0.0004015416496259877,0.001,2.376570701599121,2.3785200119018555
189,0.00039686807150126057,0.001,2.3767406940460205,2.3779475688934326
190,0.00039221310016326053,0.001,2.3319873809814453,2.3144824504852295
191,0.00038757730122922836,0.001,2.4007620811462402,2.400362730026245
192,0.0003829612379868006,0.001,2.3966023921966553,2.4177510738372803
193,0.00037836547132556525,0.001,2.4035568237304688,2.3891148567199707
194,0.00037379055966890897,0.001,2.311237096786499,2.3248374462127686
195,0.0003692370589061638,0.001,2.328512191772461,2.344312906265259
196,0.0003647055223250628,0.001,2.368739128112793,2.3857157230377197
197,0.0003601965005445106,0.001,2.3304646015167236,2.327974319458008
198,0.0003557105414476782,0.001,2.341770887374878,2.312591552734375
199,0.00035124819011543167,0.001,2.3690221309661865,2.344398021697998
