t,grad,w_corrected,w_uncorrected,update_corrected,update_uncorrected,update_ratio_uncorrected_over_corrected,bias_correction_factor
1,0.4708577023403322,0.9990000000212378,0.9968377244636141,0.0009999999787621617,0.0031622755363859196,3.1622756035458175,0.3162277660168381
2,-0.698289052350575,0.9992425887753702,0.9978686272469491,-0.00024258875413239085,-0.0010309027833351112,4.249590163493335,0.23531672532745276
3,-0.33985722403921054,0.9996556564909695,0.9999134089802122,-0.00041306771559929714,-0.0020447817332630925,4.950233717240359,0.2020105974389679
4,0.1852517837303299,0.9998709109357496,1.0010847407349304,-0.00021525444478012713,-0.0011713317547180973,5.44161471747801,0.18376892374498519
5,-0.5081744470940355,1.0002929373187919,1.0035312861649097,-0.0004220263830423007,-0.00244654542997943,5.797138587267439,0.17249884690452813
6,-0.036060011392535674,1.000674287927596,1.0058409873954808,-0.0003813506088041313,-0.0023097012305710153,6.056634438880155,0.16510815268402332
7,0.08959824363742844,1.00096329379019,1.007645800618184,-0.0002890058625939794,-0.00180481322270334,6.244901769480362,0.16013057743679973
8,-0.4155496076354941,1.0013815955016054,1.010314029593173,-0.0004183017114155279,-0.0026682289749887524,6.378718762492025,0.15677125516997972
9,-0.6545186822296793,1.0019472862836927,1.0139740922342648,-0.0005656907820873378,-0.003660062641091929,6.470076509973689,0.15455764397831934
10,0.09694387062455205,1.0024150544660766,1.0170276264650342,-0.00046776818238392954,-0.0030535342307694536,6.527879290992922,0.1531890739511824
11,0.4966248517675986,1.0026367291354308,1.018481574347448,-0.0002216746693542735,-0.0014539478824138919,6.55892658664684,0.15246394135025237
12,-0.3234908152737524,1.0029390501169826,1.0204673754492748,-0.00030232098155184205,-0.0019858011018267043,6.568518968261483,0.15224129051350335
13,-0.16683399189783477,1.0032652518987908,1.0226075380704127,-0.00032620178180813416,-0.002140162621137875,6.560855091823745,0.1524191271813757
14,0.8228358802913388,1.0032827110111824,1.0227217084778437,-1.7459112391702106e-05,-0.00011417040743109876,6.539301934121301,0.15292149570034197
15,-0.2794448829241353,1.0033787167300474,1.0233463778477903,-9.600571886507933e-05,-0.0006246693699465856,6.506584996508994,0.15369042840954503
16,-0.2570783315263635,1.00353838123493,1.0243785973656174,-0.00015966450488262755,-0.001032219517827253,6.464927934897349,0.15468074017146757
17,1.2020596661492848,1.0033729853599993,1.0233173917349938,0.0001653958749307446,0.0010612056306236219,6.416155367042711,0.15585655442731472
18,-0.765541296436815,1.0034032050175619,1.0235096422681738,-3.0219657562598644e-05,-0.0001922505331800367,6.361770737533954,0.1571889208164824
19,0.3982329201467755,1.0033417016570638,1.0231219854933293,6.150336049799906e-05,0.0003876567748443647,6.303017781556452,0.15865414215129423
20,-1.0018242585757022,1.0034962684083375,1.0240866253895298,-0.00015456675127361276,-0.0009646398962005451,6.240927549114025,0.1602325747308485
