stage,max_abs_diff_vs_single_device,mean_loss
dp,1.553492620587349e-05,5.580145686864853
zero1,1.553492620587349e-05,5.580145686864853
zero2,1.553492620587349e-05,5.580145686864853
zero3,1.553492620587349e-05,5.580145686864853
